imdbID,Director
tt1392214,Denis Villeneuve
tt0015324,Buster Keaton
tt0356910,Doug Liman
tt2024544,Steve McQueen
tt0072684,Stanley Kubrick
tt1392190,George Miller
tt0074958,Sidney Lumet
tt0092005,Rob Reiner
tt0405159,Clint Eastwood
tt0061512,Stuart Rosenberg
tt0052618,William Wyler
tt1028532,Lasse Hallström
tt0758758,Sean Penn
tt0046268,Henri-Georges Clouzot
tt0097165,Peter Weir
tt0091763,Oliver Stone
tt1201607,David Yates
tt0079470,Terry Jones
tt3315342,James Mangold
tt1979320,Ron Howard
tt0048021,Jules Dassin
tt4016934,Chan-wook Park
tt0019254,Carl Theodor Dreyer
tt0053198,François Truffaut
tt0060107,Andrei Tarkovsky
tt0395169,Terry George
tt1895587,Tom McCarthy
tt0245712,Alejandro G. Iñárritu
tt0405508,Rakeysh Omprakash Mehra
tt0087544,Hayao Miyazaki
tt0075148,John G. Avildsen
tt0113247,Mathieu Kassovitz
tt1954470,Anurag Kashyap
tt0198781,"Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)"
tt0032976,Alfred Hitchcock
tt8613070,Céline Sciamma
tt0381681,Richard Linklater
tt0025316,Frank Capra
tt0018773,Charles Chaplin
tt0118694,Kar-Wai Wong
tt0087884,Wim Wenders
tt4430212,Nishikant Kamat
tt4857264,Oriol Paulo
tt1454029,Tate Taylor
tt0093779,Rob Reiner
tt0088247,James Cameron
tt0058946,Gillo Pontecorvo
tt5323662,Naoko Yamada
tt0367110,Ashutosh Gowariker
tt0169102,Ashutosh Gowariker
tt0050613,Akira Kurosawa
